timestamp_ms,real_x,real_y,pred_x,pred_y
16256955,72.3125,6.5,68.625,6.34375
16256995,84.1875,6.6875,77.4688,6.82812
16257035,84.1875,6.6875,93.0938,6.82812
16257076,96.875,3.625,84.1875,6.6875
16257116,107,5.5,106.391,1.32812
16257156,107.188,10,114.594,6.90625
16257196,108.938,12.625,107.333,13.4875
16257236,106.312,12.0625,110.25,14.5938
16257278,108.375,21.5625,104.344,11.6406
16257319,107.375,21.3125,109.848,28.3482
16257359,107.562,24.9375,106.625,21.125
16257399,106.5,27.6875,107.703,27.6562
16257439,106.812,28.6875,105.703,29.75
16257481,106.812,28.6875,107.047,29.4375
16257521,107.812,45.8125,106.812,28.6875
16257562,107.75,61.4375,108.562,58.6562
16257602,108.125,76.375,107.698,74.3948
16257642,103.688,103.938,108.312,83.8438
16257682,94.125,104.562,100.359,124.609
16257722,83.5625,104.125,85.7578,105.109
16257763,74.875,103.312,75.6406,103.797
16257803,61.4375,102.812,67.925,102.662
16257843,56.9375,102.5,54.7188,102.562
16257883,41.125,103.188,53.5625,102.266
16257923,33.8125,103.188,29.2656,103.703
16257963,19.5,103.812,27.9625,103.188
16258003,13.375,103.938,8.40781,104.297
16258044,8.375,103.125,8.62813,104.034
16258084,8.375,103.125,4.625,102.516
16258124,7.4375,97.875,8.375,103.125
16258164,7.1875,97.625,6.71094,93.8063
16258204,7.375,99.5625,6.99375,97.4313
16258244,7.375,99.5625,7.51562,101.016
16258284,7.9375,103.625,7.375,99.5625
16258325,12,97.8125,8.35938,106.672
16258365,14.625,90.3125,15.0469,93.4531
16258405,17.8125,79.75,16.0031,86.375
16258445,20.375,71.3125,20.2031,71.8281
16258485,27.125,47.8125,22.2969,64.9844
16258525,31.625,35.4375,32.3563,29.6
16258565,31.625,35.4375,35,26.1562
16258605,42.0625,14.125,31.625,35.4375
16258646,48,6.5,50.1516,-2.39219
16258686,51.9375,6.75,51.2656,2.30625
16258726,64.625,6.8125,54.8906,6.9375
16258766,75.5625,6.4375,74.1406,6.85938
16258809,81.9375,6.375,83.7656,6.15625
16258849,88.4375,5.375,86.4911,6.33036
16258889,93.1875,6.375,93.3125,4.625
16258929,101.562,6.375,96.75,7.125
16258970,106.938,6.3125,108.053,6.375
16259010,107.438,7.9375,110.969,6.26562
16259050,107.125,12.125,107.812,9.15625
16259090,107.812,18.1875,106.891,15.2656
16259130,106.875,22.0625,108.328,22.7344
16259171,107.5,26.9375,106.359,24.1938
16259211,107.938,36.375,107.984,30.7156
16259251,107.938,36.375,108.266,43.4531
